ID,Letter,Headerword,Part of Speech,IPA Prnounciation,Phonetic Pronunciation,Definition in Mandinka,Translation and Sentences,English Translation,Mandinka Sentence,Sentence IPA Pronouncation,Sentence Phonetic Pronounciation,Sentence English Translation,Source,Country
1,A,alibalaa,n,/alibalaː/,ahl-ehhb-ahl-ah-ah,,"calamity, disaster, plague, epidemic. Alamaa n tanka la alibalaa la. May God saveus from calamity","calamity, disaster, plague,",Alamaa n tanka la alibalaa la,/alamaː n taŋka la alibalaː la/,ahl-ahm-ah-ah n t-ahnk-ah l-ah -ahl-ehhb-ahl-ah-ah l-ah,May God saveus from calamity,PC,Gambia
2,A,Alifa,n,/alifa/,ahl-ehhf-ah,,name of a man. Alifa too siyaata fuloolu kono. The name Alifatis common among Fulas.,name of a man,Alifa too siyaata fuloolu kono,/alifa toː sijaːta fuloːlu kono/,ahl-ehhf-ah t-oh-oh s-ehhy-ah-aht-ah f-o-ohl-oh-ohl-o-oh k-ohn-oh,The name Alifatis common among Fulas.,PC,Gambia
3,A,alifaa,n,/alifaː/,ahl-ehhf-ah-ah,,"respected person, leader, elder, guardian. Alifaa fianta buufiaa la le. An elder should be respected.","respected person, leader, elder, guardian",Alifaa fianta buufiaa la le,/alifaː fianta buːfiaː la le/,ahl-ehhf-ah-ah f-ehh-ahnt-ah b-o-oh-o-ohf-ehh-ah-ah l-ah l-eh,An elder should be respected.,PC,Gambia
4,A,alifaa-foloolu,n,/alifaː-foloːlu/,ahl-ehhf-ah-ah-f-ohl-oh-ohl-o-oh,,ancestors. Nna alifaafoloolu bota Mali le. Qua ancestors were from Mali.,ancestors,Nna alifaafoloolu bota Mali le,/nna alifaːfoloːlu bota mali le/,nn-ah -ahl-ehhf-ah-ahf-ohl-oh-ohl-o-oh b-oht-ah m-ahl-ehh l-eh,Qua ancestors were from Mali.,PC,Gambia
5,A,alifaari,v,/alifaːri/,ahl-ehhf-ah-ahr-ehh,,to curse. Keebaalu ye suno alifaari jaameno to. The elders cursed the thief at the mosque.,to curse,Keebaalu ye suno alifaari jaameno to,/keːbaːlu je suno alifaːri dʒaːmeno to/,k-eh-ehb-ah-ahl-o-oh y-eh s-o-ohn-oh -ahl-ehhf-ah-ahr-ehh j-ah-ahm-ehn-oh t-oh,The elders cursed the thief at the mosque.,PC,Gambia
6,A,alifaaroo,vn,/alifaːroː/,ahl-ehhf-ah-ahr-oh-oh,,cursing. Alifaaroo man beteyaa. Cursing is not good.,cursing,Alifaaroo man beteyaa,/alifaːroː man betejaː/,ahl-ehhf-ah-ahr-oh-oh m-ahn b-eht-ehy-ah-ah,Cursing is not good.,PC,Gambia
7,A,alifaatiyo,n,/alifaːtijo/,ahl-ehhf-ah-aht-ehhy-oh,,"Quran's Ist chapter. Ali alifaatiyo karan. You all, read the first chapter of the Quran.",Quran's Ist chapter,Ali alifaatiyo karan,/ali alifaːtijo karan/,ahl-ehh -ahl-ehhf-ah-aht-ehhy-oh k-ahr-ahn,"You all, read the first chapter of the Quran.",PC,Gambia
8,A,alifaayaa,n,/alifaːjaː/,ahl-ehhf-ah-ahy-ah-ah,,"leadership, guardianship, eldership. Alifaayaa man feeyaa. Leadership is not easy.","leadership, guardianship, eldership",Alifaayaa man feeyaa,/alifaːjaː man feːjaː/,ahl-ehhf-ah-ahy-ah-ah m-ahn f-eh-ehy-ah-ah,Leadership is not easy.,PC,Gambia
9,A,alihaaloo,n,/alihaːloː/,ahl-ehhh-ah-ahl-oh-oh,,"condition, state, position, circumstance. A be alihaala kolen ne to. He is in a difficult condition.","condition, state, position, circumstance",A be alihaala kolen ne to,/a be alihaːla kolen ne to/,ah b-eh -ahl-ehhh-ah-ahl-ah k-ohl-ehn n-eh t-oh,He is in a difficult condition.,PC,Gambia
10,L,lillaay,n,/lillaːj/,l-ehhll-ah-ahy,,"praise be to God, thanks to God, borrowed from the Holy Quran, mentioned when something is accomplished.","praise be to God, thanks to God, borrowed from the Holy Quran, mentioned when something is accomplished",#N/A,/#n/a/,#n/-ah,"praise be to God, thanks to God, borrowed from the Holy Quran, mentioned when something is accomplished.",PC,Gambia
11,A,alihawaa,n,/alihawaː/,ahl-ehhh-ahw-ah-ah,,"space, cosmos, weather, all space above earth is called “alihawaa"". Alihawaa man diyaa bii. Zhe weather is not favourable today.","space, cosmos, weather, all space above earth is called “alihawaa""",Alihawaa man diyaa bii,/alihawaː man dijaː biː/,ahl-ehhh-ahw-ah-ah m-ahn d-ehhy-ah-ah b-ehh-ehh,Zhe weather is not favourable today.,PC,Gambia
12,A,Alikaaloo,n,/alikaːloː/,ahl-ehhk-ah-ahl-oh-oh,,"chief of a village, mayor, title for a village, town or city head. Alikaaloo taamata le. Zhe Alikaaloo has travelled.","chief of a village, mayor, title for a village, town or city head",Alikaaloo taamata le,/alikaːloː taːmata le/,ahl-ehhk-ah-ahl-oh-oh t-ah-ahm-aht-ah l-eh,Zhe Alikaaloo has travelled.,PC,Gambia
13,A,alikiyaama,n,/alikijaːma/,ahl-ehhk-ehhy-ah-ahm-ah,,"here after, next world. Alikiyaama te baay la. The here after is inevitable. alikiyaama","here after, next world",Alikiyaama te baay la,/alikijaːma te baːj la/,ahl-ehhk-ehhy-ah-ahm-ah t-eh b-ah-ahy l-ah,The here after is inevitable. alikiyaama,PC,Gambia
14,L,looluno,n,/loːluno/,l-oh-ohl-o-ohn-oh,,"last day, judgement day. Alikiyaama looluno toofiaa be lon na le. On the last day the truth shall be known.","last day, judgement day",Alikiyaama looluno toofiaa be lon na le,/alikijaːma loːluno toːfiaː be lon na le/,ahl-ehhk-ehhy-ah-ahm-ah l-oh-ohl-o-ohn-oh t-oh-ohf-ehh-ah-ah b-eh l-ohn n-ah l-eh,On the last day the truth shall be known.,PC,Gambia
15,A,alikunuutoo,n,/alikunuːtoː/,ahl-ehhk-o-ohn-o-oh-o-oht-oh-oh,,"prayer recitation, secret, contraceptive charm, recited silently in dawn prayers, thus having a conotation as a secret. Nin kuwo mu alikunuutoo le ti. This affair is a secret.","prayer recitation, secret, contraceptive charm, recited silently in dawn prayers, thus having a conotation as a secret",Nin kuwo mu alikunuutoo le ti,/nin kuwo mu alikunuːtoː le ti/,n-ehhn k-o-ohw-oh m-o-oh -ahl-ehhk-o-ohn-o-oh-o-oht-oh-oh l-eh t-ehh,This affair is a secret.,PC,Gambia
16,A,alikuraanitakoo,vn,/alikuraːnitakoː/,ahl-ehhk-o-ohr-ah-ahn-ehht-ahk-oh-oh,,"swearing by the Quran, this is done by holding the Quran and swearing on what one says. Alikuraani takoo man beteyaa moo la. Swearing by the Quran is not good for a person.","swearing by the Quran, this is done by holding the Quran and swearing on what one says",Alikuraani takoo man beteyaa moo la,/alikuraːni takoː man betejaː moː la/,ahl-ehhk-o-ohr-ah-ahn-ehh t-ahk-oh-oh m-ahn b-eht-ehy-ah-ah m-oh-oh l-ah,Swearing by the Quran is not good for a person.,PC,Gambia
17,A,Alikuraanoo,n,/alikuraːnoː/,ahl-ehhk-o-ohr-ah-ahn-oh-oh,,Holy Quran. Alikuraanoo le kummaayaata kitaaboolu bee ti. Zhe Quran is superior to all other books.,Holy Quran,Alikuraanoo le kummaayaata kitaaboolu bee ti,/alikuraːnoː le kummaːjaːta kitaːboːlu beː ti/,ahl-ehhk-o-ohr-ah-ahn-oh-oh l-eh k-o-ohmm-ah-ahy-ah-aht-ah k-ehht-ah-ahb-oh-ohl-o-oh b-eh-eh t-ehh,Zhe Quran is superior to all other books.,PC,Gambia
18,A,alikuraanootaki,v,/alikuraːnoːtaki/,ahl-ehhk-o-ohr-ah-ahn-oh-oht-ahk-ehh,,to swear by the Quran. Alikuraanoo taki nin toofiaa mu. Swear by the Quran ifit is true.,to swear by the Quran,Alikuraanoo taki nin toofiaa mu,/alikuraːnoː taki nin toːfiaː mu/,ahl-ehhk-o-ohr-ah-ahn-oh-oh t-ahk-ehh n-ehhn t-oh-ohf-ehh-ah-ah m-o-oh,Swear by the Quran ifit is true.,PC,Gambia
19,A,alikuuroo,n,/alikuːroː/,ahl-ehhk-o-oh-o-ohr-oh-oh,,lot. Ali fianta alikuuroo le ke la. You.should cast lots.,lot,Ali fianta alikuuroo le ke la,/ali fianta alikuːroː le ke la/,ahl-ehh f-ehh-ahnt-ah -ahl-ehhk-o-oh-o-ohr-oh-oh l-eh k-eh l-ah,You.should cast lots.,PC,Gambia
20,A,alila,pa,/alila/,ahl-ehhl-ah,,,#N/A,#N/A,/#n/a/,#n/-ah,,PC,Gambia
21,A,alimaame,n,/alimaːme/,ahl-ehhm-ah-ahm-eh,,"imam, also used as a man's name. Nin mu tina alimaame foloo dino le ti. This is our first imam’ son.","imam, also used as a man's name",Nin mu tina alimaame foloo dino le ti,/nin mu tina alimaːme foloː dino le ti/,n-ehhn m-o-oh t-ehhn-ah -ahl-ehhm-ah-ahm-eh f-ohl-oh-oh d-ehhn-oh l-eh t-ehh,This is our first imam’ son.,PC,Gambia
22,A,alimaamoo,n,/alimaːmoː/,ahl-ehhm-ah-ahm-oh-oh,,"imam, also used as man's name. Afay Usmaan ne mu alimaamoo ti. Afay Usmaan is the imam.","imam, also used as man's name",Afay Usmaan ne mu alimaamoo ti,/afaj usmaːn ne mu alimaːmoː ti/,ahf-ahy -o-ohsm-ah-ahn n-eh m-o-oh -ahl-ehhm-ah-ahm-oh-oh t-ehh,Afay Usmaan is the imam.,PC,Gambia
23,A,alimanaakoo,n,/alimanaːkoː/,ahl-ehhm-ahn-ah-ahk-oh-oh,,"lunar calender, gregorian calender. I man alimanaakoo soto bay? Doyou have acalender?","lunar calender, gregorian calender",#N/A,/#n/a/,#n/-ah,Doyou have acalender?,PC,Gambia
24,A,Alimatu,n,/alimatu/,ahl-ehhm-aht-o-oh,,name of lady. Alimatu be jee le ban? Ls Alimatu there?,name of lady,#N/A,/#n/a/,#n/-ah,Ls Alimatu there?,PC,Gambia
25,A,alimeetoo,n,/alimeːtoː/,ahl-ehhm-eh-eht-oh-oh,,"match, matches. Taa alimeetoo san bitikoo to. Goand buy matches at the shop.","match, matches",Taa alimeetoo san bitikoo to,/taː alimeːtoː san bitikoː to/,t-ah-ah -ahl-ehhm-eh-eht-oh-oh s-ahn b-ehht-ehhk-oh-oh t-oh,Goand buy matches at the shop.,PC,Gambia
26,A,alimooroo,n,/alimoːroː/,ahl-ehhm-oh-ohr-oh-oh,,cupboard. Alimooroo be kabineetoo kono. The cupboard is in the bedroom.,cupboard,Alimooroo be kabineetoo kono,/alimoːroː be kabineːtoː kono/,ahl-ehhm-oh-ohr-oh-oh b-eh k-ahb-ehhn-eh-eht-oh-oh k-ohn-oh,The cupboard is in the bedroom.,PC,Gambia
27,A,alitelu,spn,/alitelu/,ahl-ehht-ehl-o-oh,,"see ""alitolu"".","see ""alitolu""",#N/A,/#n/a/,#n/-ah,"see ""alitolu"".",PC,Gambia
28,A,alitelu,n,/alitelu/,ahl-ehht-ehl-o-oh,,"see ""alitolu"".","see ""alitolu""",#N/A,/#n/a/,#n/-ah,"see ""alitolu"".",PC,Gambia
29,A,Aliw,n,/aliw/,ahl-ehhw,,"man's name,. Aliw mu nun kee fatino le ti. Aw was a brave man.","man's name,",Aliw mu nun kee fatino le ti,/aliw mu nun keː fatino le ti/,ahl-ehhw m-o-oh n-o-ohn k-eh-eh f-aht-ehhn-oh l-eh t-ehh,Aw was a brave man.,PC,Gambia
30,A,aliyatiimoo,n,/alijatiːmoː/,ahl-ehhy-aht-ehh-ehhm-oh-oh,,"orphan, both parents or father dead. Usmaan mu aliyatiimoo le ti. Usmaanis an orphan.","orphan, both parents or father dead",Usmaan mu aliyatiimoo le ti,/usmaːn mu alijatiːmoː le ti/,o-ohsm-ah-ahn m-o-oh -ahl-ehhy-aht-ehh-ehhm-oh-oh l-eh t-ehh,Usmaanis an orphan.,PC,Gambia
31,A,Amara,n,/amara/,ahm-ahr-ah,,name of a man. Amara mu dindino le ti. Amara is a child.,name of a man,Amara mu dindino le ti,/amara mu dindino le ti/,ahm-ahr-ah m-o-oh d-ehhnd-ehhn-oh l-eh t-ehh,Amara is a child.,PC,Gambia
32,A,ambalaasoo,n,/ambalaːsoː/,ahmb-ahl-ah-ahs-oh-oh,,big sack. N man nna ambalaasoo je. Jhaven'tseen my big bag.,big sack,N man nna ambalaasoo je,/n man nna ambalaːsoː dʒe/,n m-ahn nn-ah -ahmb-ahl-ah-ahs-oh-oh j-eh,Jhaven'tseen my big bag.,PC,Gambia
33,A,ambulansoo,n,/ambulansoː/,ahmb-o-ohl-ahns-oh-oh,,ambulance. Ambulansoo man esansoo soto. The ambulance has no petrol.,ambulance,Ambulansoo man esansoo soto,/ambulansoː man esansoː soto/,ahmb-o-ohl-ahns-oh-oh m-ahn -ehs-ahns-oh-oh s-oht-oh,The ambulance has no petrol.,PC,Gambia
34,A,ambulookoo,n,/ambuloːkoː/,ahmb-o-ohl-oh-ohk-oh-oh,,"see""embulookoo"". Leetaroo be ambulookoo kono. the letter is in the envelope.","see""embulookoo""",Leetaroo be ambulookoo kono,/leːtaroː be ambuloːkoː kono/,l-eh-eht-ahr-oh-oh b-eh -ahmb-o-ohl-oh-ohk-oh-oh k-ohn-oh,the letter is in the envelope.,PC,Gambia
35,A,anin,n,/anin/,ahn-ehhn,,and.,and,#N/A,/#n/a/,#n/-ah,and.,PC,Gambia
36,A,Antii,n,/antiː/,ahnt-ehh-ehh,,name of a lady. Antii wuluuta le. Anti has delivered.,name of a lady,Antii wuluuta le,/antiː wuluːta le/,ahnt-ehh-ehh w-o-ohl-o-oh-o-oht-ah l-eh,Anti has delivered.,PC,Gambia
37,A,Antu,n,/antu/,ahnt-o-oh,,name of a man. Antu nin Antumaan mu kilin ne ti. Antisand Antumaan are the same.,name of a man,Antu nin Antumaan mu kilin ne ti,/antu nin antumaːn mu kilin ne ti/,ahnt-o-oh n-ehhn -ahnt-o-ohm-ah-ahn m-o-oh k-ehhl-ehhn n-eh t-ehh,Antisand Antumaan are the same.,PC,Gambia
38,A,Antumaan,n,/antumaːn/,ahnt-o-ohm-ah-ahn,,name ofa man. Ate faa mu Antumaan ne ti. His father is Antianaan.,name ofa man,Ate faa mu Antumaan ne ti,/ate faː mu antumaːn ne ti/,aht-eh f-ah-ah m-o-oh -ahnt-o-ohm-ah-ahn n-eh t-ehh,His father is Antianaan.,PC,Gambia
39,A,aparantee,n,/aparanteː/,ahp-ahr-ahnt-eh-eh,,"apprentice, trainee. Daraayiboo la aparantee te jan. The driver's apprentice is not here.","apprentice, trainee",Daraayiboo la aparantee te jan,/daraːjiboː la aparanteː te dʒan/,d-ahr-ah-ahy-ehhb-oh-oh l-ah -ahp-ahr-ahnt-eh-eh t-eh j-ahn,The driver's apprentice is not here.,PC,Gambia
40,A,Araaboo,n,/araːboː/,ahr-ah-ahb-oh-oh,,Arab. Araaboo nin mulaataroo man kilin. Araband Mulato are not the same.,Arab,Araaboo nin mulaataroo man kilin,/araːboː nin mulaːtaroː man kilin/,ahr-ah-ahb-oh-oh n-ehhn m-o-ohl-ah-aht-ahr-oh-oh m-ahn k-ehhl-ehhn,Araband Mulato are not the same.,PC,Gambia
41,A,Araamata,n,/araːmata/,ahr-ah-ahm-aht-ah,,name of a lady. Munne be Araamata bulu? Whatis with Araamata?,name of a lady,#N/A,/#n/a/,#n/-ah,Whatis with Araamata?,PC,Gambia
42,A,Araamisaluno,n,/araːmisaluno/,ahr-ah-ahm-ehhs-ahl-o-ohn-oh,,Thursday. Maaijioo bitoo mu Araamisa luno le ti. The wedding is on Thursday.,Thursday,Maaijioo bitoo mu Araamisa luno le ti,/maːidʒioː bitoː mu araːmisa luno le ti/,m-ah-ah-ehhj-ehh-oh-oh b-ehht-oh-oh m-o-oh -ahr-ah-ahm-ehhs-ah l-o-ohn-oh l-eh t-ehh,The wedding is on Thursday.,PC,Gambia
43,A,Araamisoo,n,/araːmisoː/,ahr-ah-ahm-ehhs-oh-oh,,Thursday. I be munne tabi la Araamisoo? What will you cook on Thursday?,Thursday,#N/A,/#n/a/,#n/-ah,What will you cook on Thursday?,PC,Gambia
44,A,Arabaluno,n,/arabaluno/,ahr-ahb-ahl-o-ohn-oh,,Wednesday. N be benacinoo le tabila Arabaluno. J will cook benacin on Wednesday.,Wednesday,N be benacinoo le tabila Arabaluno,/n be benatʃinoː le tabila arabaluno/,n b-eh b-ehn-ahch-ehhn-oh-oh l-eh t-ahb-ehhl-ah -ahr-ahb-ahl-o-ohn-oh,J will cook benacin on Wednesday.,PC,Gambia
45,A,Araboo,n,/araboː/,ahr-ahb-oh-oh,,Wednesday. Araboo n te naa la. Why not come on Wednesday.,Wednesday,Araboo n te naa la,/araboː n te naː la/,ahr-ahb-oh-oh n t-eh n-ah-ah l-ah,Why not come on Wednesday.,PC,Gambia
46,A,Arajana,n,/aradʒana/,ahr-ahj-ahn-ah,,paradise. Arajana le diyaata dunuyaa ti. Paradise is nicer than the earth. Arajuma,paradise,Arajana le diyaata dunuyaa ti,/aradʒana le dijaːta dunujaː ti/,ahr-ahj-ahn-ah l-eh d-ehhy-ah-aht-ah d-o-ohn-o-ohy-ah-ah t-ehh,Paradise is nicer than the earth. Arajuma,PC,Gambia
47,L,luno,n,/luno/,l-o-ohn-oh,,"see ""Arajumoo"".","see ""Arajumoo""",#N/A,/#n/a/,#n/-ah,"see ""Arajumoo"".",PC,Gambia
48,A,Arajumoo,n,/aradʒumoː/,ahr-ahj-o-ohm-oh-oh,,"Friday. Arajumoo, moolu ka taa jaameno to le. On Fridays people go to the mosque.",Friday,"Arajumoo, moolu ka taa jaameno to le","/aradʒumoː, moːlu ka taː dʒaːmeno to le/","ahr-ahj-o-ohm-oh-oh, m-oh-ohl-o-oh k-ah t-ah-ah j-ah-ahm-ehn-oh t-oh l-eh",On Fridays people go to the mosque.,PC,Gambia
49,A,arankeesoo,n,/araŋkeːsoː/,ahr-ahnk-eh-ehs-oh-oh,,safe. Arankeesoo be faarin kodoo la. The safe is fill of money. ase,safe,Arankeesoo be faarin kodoo la,/araŋkeːsoː be faːrin kodoː la/,ahr-ahnk-eh-ehs-oh-oh b-eh f-ah-ahr-ehhn k-ohd-oh-oh l-ah,The safe is fill of money. ase,PC,Gambia
50,K,ke,n,/ke/,k-eh,,may be.,may be,#N/A,/#n/a/,#n/-ah,may be.,PC,Gambia
51,A,asetoo,n,/asetoː/,ahs-eht-oh-oh,,plate. Asetoo man,plate,#N/A,/#n/a/,#n/-ah,plate. Asetoo man,PC,Gambia
52,B,Ba,n,/ba/,b-ah,,surname. Faatu Ba be ofisoo Baadankatoo siyaata jay ne. There seneyaa. The plate is not clean. kono. Faatu Ba is in the office. are a lot of cursed people here.,surname,Faatu Ba be ofisoo Baadankatoo siyaata jay ne,/faːtu ba be ofisoː baːdaŋkatoː sijaːta dʒaj ne/,f-ah-aht-o-oh b-ah b-eh -ohf-ehhs-oh-oh b-ah-ahd-ahnk-aht-oh-oh s-ehhy-ah-aht-ah j-ahy n-eh,There seneyaa. The plate is not clean. kono. Faatu Ba is in the office. are a lot of cursed people here.,PC,Gambia
53,A,asiboo,n,/asiboː/,ahs-ehhb-oh-oh,,acid for battery. Asiboo ke moto baatiriyo kono. Put acid in the motor battery.,acid for battery,Asiboo ke moto baatiriyo kono,/asiboː ke moto baːtirijo kono/,ahs-ehhb-oh-oh k-eh m-oht-oh b-ah-aht-ehhr-ehhy-oh k-ohn-oh,Put acid in the motor battery.,PC,Gambia
54,A,asidano,n,/asidano/,ahs-ehhd-ahn-oh,,accident. Woo asidano jawuyaata baake. That accident is very serious.,accident,Woo asidano jawuyaata baake,/woː asidano dʒawujaːta baːke/,w-oh-oh -ahs-ehhd-ahn-oh j-ahw-o-ohy-ah-aht-ah b-ah-ahk-eh,That accident is very serious.,PC,Gambia
55,A,asobii,n,/asobiː/,ahs-ohb-ehh-ehh,,"uniformity, during occassions people make the same cloth into dresses and that is asobi. Musu la maaiioo bitoo n! be asobii taa la le. We will take an asobi for Musu’s wedding.","uniformity, during occassions people make the same cloth into dresses and that is asobi",Musu la maaiioo bitoo n! be asobii taa la le,/musu la maːiːoː bitoː n! be asobiː taː la le/,m-o-ohs-o-oh l-ah m-ah-ah-ehh-ehh-oh-oh b-ehht-oh-oh n! b-eh -ahs-ohb-ehh-ehh t-ah-ah l-ah l-eh,be asobii taa la le. We will take an asobi for Musu’s wedding.,PC,Gambia
56,A,asobiyo,n,/asobijo/,ahs-ohb-ehhy-oh,,asobii.,asobii,#N/A,/#n/a/,#n/-ah,asobii.,PC,Gambia
57,A,ataa,n,/ataː/,aht-ah-ah,,"his, hers.","his, hers",#N/A,/#n/a/,#n/-ah,"his, hers.",PC,Gambia
58,A,ataakuu,adj,/ataːkuː/,aht-ah-ahk-o-oh-o-oh,,take it easy. Dukare a taakuu. Please take it easy.,take it easy,Dukare a taakuu,/dukare a taːkuː/,d-o-ohk-ahr-eh -ah t-ah-ahk-o-oh-o-oh,Please take it easy.,PC,Gambia
59,A,ataayaa,n,/ataːjaː/,aht-ah-ahy-ah-ah,,"green tea, tea drinking, green tea from china drank ceremoniously. Ataayaa be dulaa bee le to saayin. Ataaya is everywhere now.","green tea, tea drinking, green tea from china drank ceremoniously",Ataayaa be dulaa bee le to saayin,/ataːjaː be dulaː beː le to saːjin/,aht-ah-ahy-ah-ah b-eh d-o-ohl-ah-ah b-eh-eh l-eh t-oh s-ah-ahy-ehhn,Ataaya is everywhere now.,PC,Gambia
60,A,ate,op,/ate/,aht-eh,,"him, it, her, (emphatic). Bukoo dii ate la. Give the book to him.","him, it, her, (emphatic)",Bukoo dii ate la,/bukoː diː ate la/,b-o-ohk-oh-oh d-ehh-ehh -aht-eh l-ah,Give the book to him.,PC,Gambia
61,A,ate,spn,/ate/,aht-eh,,"he, it, she, (emphatic).. Ate mu dindino le ti. He is a child.","he, it, she, (emphatic)",,,,Ate mu dindino le ti. He is a child.,PC,Gambia
62,A,atela,pa,/atela/,aht-ehl-ah,,"his, her, its. Moo buka atela kodoo soto. No one gets his money.","his, her, its",Moo buka atela kodoo soto,/moː buka atela kodoː soto/,m-oh-oh b-o-ohk-ah -aht-ehl-ah k-ohd-oh-oh s-oht-oh,No one gets his money.,PC,Gambia
63,A,atetaa,pospn,/atetaː/,aht-eht-ah-ah,,"his, hers, its.","his, hers, its",#N/A,/#n/a/,#n/-ah,"his, hers, its.",PC,Gambia
64,A,Awa,n,/awa/,ahw-ah,,"Eve, name of a lady. Awa mu Adama la musoo le ti nun. Eve was Adam's wife.","Eve, name of a lady",Awa mu Adama la musoo le ti nun,/awa mu adama la musoː le ti nun/,ahw-ah m-o-oh -ahd-ahm-ah l-ah m-o-ohs-oh-oh l-eh t-ehh n-o-ohn,Eve was Adam's wife.,PC,Gambia
65,A,awaa,n,/awaː/,ahw-ah-ah,,"go on, ok. Awaa saayin. Go onnow.","go on, ok",Awaa saayin,/awaː saːjin/,ahw-ah-ah s-ah-ahy-ehhn,Go onnow.,PC,Gambia
66,A,awansoo,n,/awansoː/,ahw-ahns-oh-oh,,"payment in advance, cash advance. Awansoo dii n na. Give me an advance.","payment in advance, cash advance",Awansoo dii n na,/awansoː diː n na/,ahw-ahns-oh-oh d-ehh-ehh n n-ah,Give me an advance.,PC,Gambia
67,A,Ayisa,n,/ajisa/,ahy-ehhs-ah,,name of a lady. Nna musoo too mu Ayisa le ti. My wifes name is Ayisa.,name of a lady,Nna musoo too mu Ayisa le ti,/nna musoː toː mu ajisa le ti/,nn-ah m-o-ohs-oh-oh t-oh-oh m-o-oh -ahy-ehhs-ah l-eh t-ehh,My wifes name is Ayisa.,PC,Gambia
68,A,ayisadoo,n,/ajisadoː/,ahy-ehhs-ahd-oh-oh,,eye shadow. Ayisadoo waafi n ma. Sellme eyeshadow.,eye shadow,Ayisadoo waafi n ma,/ajisadoː waːfi n ma/,ahy-ehhs-ahd-oh-oh w-ah-ahf-ehh n m-ah,Sellme eyeshadow.,PC,Gambia
69,A,Ayisatu,n,/ajisatu/,ahy-ehhs-aht-o-oh,,"name ofa lady, long form for Ayisa Isa . Ayisatu nin Ayisa mu kilin ne ti. Ayisattand Ayisa are the same.","name ofa lady, long form for Ayisa Isa",Ayisatu nin Ayisa mu kilin ne ti,/ajisatu nin ajisa mu kilin ne ti/,ahy-ehhs-aht-o-oh n-ehhn -ahy-ehhs-ah m-o-oh k-ehhl-ehhn n-eh t-ehh,Ayisattand Ayisa are the same.,PC,Gambia
71,B,baa,n,/baː/,b-ah-ah,,"go at, mother, river, sea. I baa be mintoo le? Your-mother is at where?","go at, mother, river, sea",#N/A,/#n/a/,#n/-ah,Your-mother is at where?,PC,Gambia
72,B,baa,adj,/baː/,b-ah-ah,,"large, big, great. Nin mu buku baa le ti. This is a big book.","large, big, great",Nin mu buku baa le ti,/nin mu buku baː le ti/,n-ehhn m-o-oh b-o-ohk-o-oh b-ah-ah l-eh t-ehh,This is a big book.,PC,Gambia
73,B,baaba,n,/baːba/,b-ah-ahb-ah,,"father, ocean, termite ant, also used as a name for men.. Baabaa lu be tuno kono. Termites are in the hill. baabaa","father, ocean, termite ant, also used as a name for men",,,,Baabaa lu be tuno kono. Termites are in the hill. baabaa,PC,Gambia
74,M,mansoo,n,/mansoː/,m-ahns-oh-oh,,"termite queen, queen of England. 1961 baabaa mansoo naata jan ne. 41 1961 the queen of England came here.","termite queen, queen of England",1961 baabaa mansoo naata jan ne,/1961 baːbaː mansoː naːta dʒan ne/,1961 b-ah-ahb-ah-ah m-ahns-oh-oh n-ah-aht-ah j-ahn n-eh,41 1961 the queen of England came here.,PC,Gambia
75,B,baabaabankoo,n,/baːbaːbaŋkoː/,b-ah-ahb-ah-ahb-ahnk-oh-oh,,"termite dust, dust created around wood by termites. Peter ka baabaabankoo domo le. Peter eats termite dust.","termite dust, dust created around wood by termites",Peter ka baabaabankoo domo le,/peter ka baːbaːbaŋkoː domo le/,p-eht-ehr k-ah b-ah-ahb-ah-ahb-ahnk-oh-oh d-ohm-oh l-eh,Peter eats termite dust.,PC,Gambia
76,B,baabaloo,n,/baːbaloː/,b-ah-ahb-ahl-oh-oh,,"coast, seaside. Brufut be baabaloo le bala. Brit is on the coast.","coast, seaside",Brufut be baabaloo le bala,/brufut be baːbaloː le bala/,br-o-ohf-o-oht b-eh b-ah-ahb-ahl-oh-oh l-eh b-ahl-ah,Brit is on the coast.,PC,Gambia
77,B,baabemdano,n,/baːbemdano/,b-ah-ahb-ehmd-ahn-oh,,swordfish. Baabendano daa janayaata le. Sword Jish's mouth is long.,swordfish,Baabendano daa janayaata le,/baːbendano daː dʒanajaːta le/,b-ah-ahb-ehnd-ahn-oh d-ah-ah j-ahn-ahy-ah-aht-ah l-eh,Sword Jish's mouth is long.,PC,Gambia
78,B,baabinooto,adv,/baːbinoːto/,b-ah-ahb-ehhn-oh-oht-oh,,"equally, this is an expression that denotes equal share. N be kodoo talaa la baabinooto le. Well share the money equally.","equally, this is an expression that denotes equal share",N be kodoo talaa la baabinooto le,/n be kodoː talaː la baːbinoːto le/,n b-eh k-ohd-oh-oh t-ahl-ah-ah l-ah b-ah-ahb-ehhn-oh-oht-oh l-eh,Well share the money equally.,PC,Gambia
79,B,baabu,n,/baːbu/,b-ah-ahb-o-oh,,"name of a man, Baabu and Buubakar stand for Abuubakar. Baabu be America le saayin. Baabu is in America now.","name of a man, Baabu and Buubakar stand for Abuubakar",Baabu be America le saayin,/baːbu be ameritʃa le saːjin/,b-ah-ahb-o-oh b-eh -ahm-ehr-ehhch-ah l-eh s-ah-ahy-ehhn,Baabu is in America now.,PC,Gambia
