ID,Letter,Headerword,Part of Speech,IPA Prnounciation,Phonetic Pronunciation,Definition in Mandinka,Translation and Sentences,English Translation,Mandinka Sentence,Sentence IPA Pronouncation,Sentence Phonetic Pronounciation,Sentence English Translation,Source,Country
4570,I,i,v,/i/,ehh,,"to breath, breath out. I niij na a juubee. Breath out let me see.","to breath, breath out",I niij na a juubee,/i niːdʒ na a dʒuːbeː/,ehh n-ehh-ehhj n-ah -ah j-o-oh-o-ohb-eh-eh,Breath out let me see.,PC,Gambia
4571,N,niijiyo,n,/niːdʒijo/,n-ehh-ehhj-ehhy-oh,,"breath, breathing out, respiration. Ila niijiyo man tembe. Your breathing is not normal.","breath, breathing out, respiration",Ila niijiyo man tembe,/ila niːdʒijo man tembe/,Loading...,Your breathing is not normal.,PC,Gambia
4572,N,niikaa,n,/niːkaː/,n-ehh-ehhk-ah-ah,,shade. Niikaa te jan. There is no shade here.,shade,Niikaa te jan,/niːkaː te dʒan/,Loading...,There is no shade here.,PC,Gambia
4573,N,niikuyaa,n,/niːkujaː/,n-ehh-ehhk-o-ohy-ah-ah,,"sorrow, sadness. I be niikuyaa le kono. You are sad.","sorrow, sadness",I be niikuyaa le kono,/i be niːkujaː le kono/,ehh b-eh n-ehh-ehhk-o-ohy-ah-ah l-eh k-ohn-oh,You are sad.,PC,Gambia
4574,N,niilaa,v,/niːlaː/,n-ehh-ehhl-ah-ah,,"to offer, give out, ""nii"".","to offer, give out, ""nii""",#N/A,/#n/a/,#n/-ah,"to offer, give out, ""nii"".",PC,Gambia
4575,N,niilaaroo,n,/niːlaːroː/,n-ehh-ehhl-ah-ahr-oh-oh,,"offering, giving out, see “niiroo"".","offering, giving out, see “niiroo""",#N/A,/#n/a/,Loading...,"offering, giving out, see “niiroo"".",PC,Gambia
4576,N,niilaata,n,/niːlaːta/,n-ehh-ehhl-ah-aht-ah,,"offered, given out, see “niita"".","offered, given out, see “niita""",#N/A,/#n/a/,#n/-ah,"offered, given out, see “niita"".",PC,Gambia
4577,N,niilamaa,n,/niːlamaː/,n-ehh-ehhl-ahm-ah-ah,,living thing. Nin manke niilamaa ti. This is nota living thing.,living thing,Nin manke niilamaa ti,/nin maŋke niːlamaː ti/,Loading...,This is nota living thing.,PC,Gambia
4578,N,niimaroo,n,/niːmaroː/,n-ehh-ehhm-ahr-oh-oh,,number. N man fiin niimaroo lon. Jdon'tknow this ruumber.,number,N man fiin niimaroo lon,/n man fiːn niːmaroː lon/,Loading...,Jdon'tknow this ruumber.,PC,Gambia
4579,N,niimoroo,n,/niːmoroː/,n-ehh-ehhm-ohr-oh-oh,,"number, see “niimaroo"".","number, see “niimaroo""",#N/A,/#n/a/,#n/-ah,"number, see “niimaroo"".",PC,Gambia
4580,N,niiniyo,n,/niːnijo/,n-ehh-ehhn-ehhy-oh,,shadow. I niiniyo sutuyaata le. Youu-shadow is short.,shadow,I niiniyo sutuyaata le,/i niːnijo sutujaːta le/,ehh n-ehh-ehhn-ehhy-oh s-o-oht-o-ohy-ah-aht-ah l-eh,Youu-shadow is short.,PC,Gambia
